date,maxtempC,mintempC,avgtempC,totalprecipMM,windspeedKmph,sunhour,weatherCode,humidity,visibilityKm,pressureMB,cloudcover,DewPointC,WindGustKmph,sunrise,sunset,moon_illumination,month,month_sin,month_cos,day,day_sin,day_cos,wind_cos,wind_sin
2008-07-01,35,22,28,0.0,11,13.6,113,52,10,1006,0,15,13,5.55,19.8,89.7,7,-0.4999999999999997,-0.8660254037844388,1,0.20129852008866,0.9795299412524944,0.1045284632676529,-0.9945218953682734
2008-07-02,35,21,28,0.0,11,13.6,113,52,10,1006,0,15,14,5.566666666666666,19.8,82.8,7,-0.4999999999999997,-0.8660254037844388,2,0.3943558551133185,0.9189578116202306,0.1391731009600654,-0.9902680687415704
2008-07-03,34,21,27,0.0,10,13.6,113,57,10,1005,1,16,12,5.566666666666666,19.8,75.9,7,-0.4999999999999997,-0.8660254037844388,3,0.5712682150947923,0.8207634412072763,0.2079116908177594,-0.9781476007338056
2008-07-04,35,19,27,0.0,12,13.6,113,57,9,1006,4,16,14,5.566666666666666,19.8,69.0,7,-0.4999999999999997,-0.8660254037844388,4,0.7247927872291199,0.6889669190756866,0.3090169943749472,-0.9510565162951536
2008-07-05,34,22,28,0.0,11,13.6,113,50,10,1007,1,14,13,5.583333333333333,19.8,62.1,7,-0.4999999999999997,-0.8660254037844388,5,0.8486442574947509,0.5289640103269624,0.0523359562429439,-0.9986295347545738
2008-07-06,33,19,26,0.0,10,13.6,113,63,9,1007,15,17,12,5.583333333333333,19.8,55.2,7,-0.4999999999999997,-0.8660254037844388,6,0.9377521321470804,0.3473052528448203,-0.1045284632676533,-0.9945218953682734
2008-07-07,34,18,27,0.0,11,13.6,113,56,8,1006,16,16,13,5.6,19.8,48.3,7,-0.4999999999999997,-0.8660254037844388,7,0.9884683243281114,0.1514277775045767,0.4067366430757997,-0.9135454576426012
2008-07-08,35,21,28,0.0,11,13.6,113,44,10,1005,0,13,14,5.6,19.78333333333333,41.4,7,-0.4999999999999997,-0.8660254037844388,8,0.9987165071710528,-0.0506491688387126,0.2419218955996674,-0.9702957262759966
2008-07-09,36,21,28,0.0,9,13.6,113,48,10,1005,0,13,10,5.616666666666667,19.78333333333333,34.5,7,-0.4999999999999997,-0.8660254037844388,9,0.9680771188662044,-0.2506525322587204,-0.2588190451025206,-0.9659258262890684
2008-07-10,38,21,30,0.0,9,13.6,113,39,10,1006,0,10,11,5.616666666666667,19.78333333333333,27.6,7,-0.4999999999999997,-0.8660254037844388,10,0.8978045395707416,-0.4403941515576344,-0.6427876096865395,-0.7660444431189779
2008-07-11,37,22,30,0.0,8,13.6,113,36,10,1006,0,11,10,5.633333333333333,19.78333333333333,20.7,7,-0.4999999999999997,-0.8660254037844388,11,0.7907757369376989,-0.6121059825476626,-0.3746065934159123,-0.9271838545667872
2008-07-12,35,22,28,0.0,10,13.6,113,44,10,1005,0,13,13,5.65,19.766666666666666,13.8,7,-0.4999999999999997,-0.8660254037844388,12,0.6513724827222223,-0.7587581226927909,0.1736481776669299,-0.984807753012208
2008-07-13,35,20,28,0.0,10,13.6,113,50,10,1007,0,14,12,5.65,19.766666666666666,6.9,7,-0.4999999999999997,-0.8660254037844388,13,0.485301962531081,-0.8743466161445821,-0.4539904997395469,-0.8910065241883678
2008-07-14,36,21,28,0.0,10,13.6,113,51,10,1010,0,15,12,5.666666666666667,19.766666666666666,0.0,7,-0.4999999999999997,-0.8660254037844388,14,0.299363122973358,-0.9541392564000488,0.3907311284892735,-0.9205048534524404
2008-07-15,36,22,29,0.0,10,13.6,113,52,10,1008,0,16,12,5.666666666666667,19.75,0.0,7,-0.4999999999999997,-0.8660254037844388,15,0.1011683219874327,-0.994869323391895,0.3907311284892735,-0.9205048534524404
2008-07-16,37,22,29,0.0,9,13.6,113,52,10,1005,0,16,10,5.683333333333334,19.75,6.9,7,-0.4999999999999997,-0.8660254037844388,16,-0.101168321987432,-0.9948693233918952,-0.0348994967025007,-0.9993908270190958
2008-07-17,37,23,30,0.0,10,13.6,113,49,10,1004,0,16,12,5.683333333333334,19.73333333333333,13.8,7,-0.4999999999999997,-0.8660254037844388,17,-0.2993631229733582,-0.9541392564000488,0.0523359562429439,-0.9986295347545738
2008-07-18,36,20,28,0.0,8,13.6,113,57,9,1006,6,16,10,5.7,19.73333333333333,20.7,7,-0.4999999999999997,-0.8660254037844388,18,-0.4853019625310808,-0.8743466161445822,0.4067366430757997,-0.9135454576426012
2008-07-19,37,20,29,0.0,8,13.6,113,49,10,1007,0,14,10,5.716666666666667,19.716666666666665,27.6,7,-0.4999999999999997,-0.8660254037844388,19,-0.651372482722222,-0.7587581226927911,0.3255681544571563,-0.945518575599317
2008-07-20,36,22,29,0.0,10,13.6,113,51,10,1006,0,16,12,5.716666666666667,19.716666666666665,34.5,7,-0.4999999999999997,-0.8660254037844388,20,-0.7907757369376986,-0.6121059825476627,0.4694715627858904,-0.8829475928589271
2008-07-21,36,22,29,0.0,9,13.6,113,46,10,1006,0,14,12,5.733333333333333,19.7,41.4,7,-0.4999999999999997,-0.8660254037844388,21,-0.8978045395707417,-0.4403941515576342,-0.6293203910498378,-0.7771459614569706
2008-07-22,37,21,30,0.0,10,13.6,113,43,10,1006,0,13,12,5.75,19.7,48.3,7,-0.4999999999999997,-0.8660254037844388,22,-0.968077118866204,-0.2506525322587213,0.3255681544571563,-0.945518575599317
2008-07-23,36,22,29,0.0,11,13.6,113,53,10,1005,0,17,14,5.75,19.683333333333334,55.2,7,-0.4999999999999997,-0.8660254037844388,23,-0.9987165071710528,-0.0506491688387135,-1.8369701987210294e-16,-1.0
2008-07-24,35,21,28,0.0,11,13.6,113,61,9,1005,5,19,14,5.766666666666667,19.683333333333334,62.1,7,-0.4999999999999997,-0.8660254037844388,24,-0.9884683243281114,0.1514277775045766,-1.8369701987210294e-16,-1.0
2008-07-25,35,20,27,0.0,10,13.6,113,63,9,1005,6,18,12,5.783333333333333,19.666666666666668,69.0,7,-0.4999999999999997,-0.8660254037844388,25,-0.9377521321470804,0.3473052528448203,0.1908089953765451,-0.981627183447664
2008-07-26,31,18,25,0.0,11,13.6,113,64,8,1007,26,16,14,5.783333333333333,19.65,75.9,7,-0.4999999999999997,-0.8660254037844388,26,-0.848644257494751,0.5289640103269624,0.2419218955996674,-0.9702957262759966
2008-07-27,31,17,24,0.0,11,13.6,113,66,8,1007,20,16,14,5.8,19.65,82.8,7,-0.4999999999999997,-0.8660254037844388,27,-0.72479278722912,0.6889669190756865,0.1736481776669299,-0.984807753012208
2008-07-28,31,17,24,0.0,10,13.6,113,67,8,1007,30,17,13,5.8,19.633333333333333,89.7,7,-0.4999999999999997,-0.8660254037844388,28,-0.5712682150947924,0.8207634412072763,-0.1218693434051471,-0.992546151641322
2008-07-29,32,18,25,0.0,10,13.6,113,68,8,1006,28,17,13,5.816666666666666,19.616666666666667,96.6,7,-0.4999999999999997,-0.8660254037844388,29,-0.3943558551133187,0.9189578116202306,-0.0871557427476582,-0.9961946980917455
2008-07-30,34,19,26,0.0,10,13.6,113,66,8,1006,20,18,13,5.833333333333333,19.6,96.6,7,-0.4999999999999997,-0.8660254037844388,30,-0.2012985200886611,0.9795299412524944,-0.0871557427476582,-0.9961946980917455
2008-07-31,36,19,28,0.0,10,13.6,113,62,8,1005,17,18,12,5.833333333333333,19.6,89.7,7,-0.4999999999999997,-0.8660254037844388,31,-2.4492935982947064e-16,1.0,0.0174524064372831,-0.9998476951563912
