date,loc_id,maxtempC,mintempC,avgtempC,totalprecipMM,windspeedKmph,sunhour,winddirdegree,weatherCode,humidity,visibilityKm,pressureMB,cloudcover,HeatIndexC,DewPointC,WindChillC,WindGustKmph,FeelsLikeC,uvIndex,sunrise,sunset,moon_illumination,month,month_sin,month_cos,day,day_sin,day_cos,wind_cos,wind_sin
2008-07-01,1,34,24,28,0.0,12,13.6,296,113,48,10,1006,0,28,14,28,15,28,7,5.566666666666666,19.783333333333335,89.7,7,-0.4999999999999997,-0.8660254037844388,1,0.20129852008866006,0.9795299412524945,0.4383711467890774,-0.898794046299167
2008-07-02,1,34,23,28,0.0,13,13.6,293,113,47,10,1006,1,28,14,28,18,28,7,5.583333333333333,19.783333333333335,82.8,7,-0.4999999999999997,-0.8660254037844388,2,0.39435585511331855,0.9189578116202306,0.3907311284892735,-0.9205048534524405
2008-07-03,1,34,23,27,0.0,12,13.6,303,113,51,10,1006,1,28,14,27,15,28,7,5.583333333333333,19.766666666666666,75.9,7,-0.4999999999999997,-0.8660254037844388,3,0.5712682150947923,0.8207634412072763,0.5446390350150266,-0.8386705679454243
2008-07-04,1,34,21,27,0.0,13,13.6,303,113,54,10,1006,6,27,15,27,16,27,7,5.6,19.766666666666666,69.0,7,-0.4999999999999997,-0.8660254037844388,4,0.7247927872291199,0.6889669190756866,0.5446390350150266,-0.8386705679454243
2008-07-05,1,34,23,28,0.0,13,13.6,294,113,46,10,1007,1,28,13,28,16,28,7,5.6,19.766666666666666,62.1,7,-0.4999999999999997,-0.8660254037844388,5,0.8486442574947509,0.5289640103269624,0.40673664307579976,-0.9135454576426011
2008-07-06,1,33,21,26,0.0,12,13.6,287,113,58,9,1007,10,27,16,26,15,27,7,5.616666666666667,19.766666666666666,55.2,7,-0.4999999999999997,-0.8660254037844388,6,0.9377521321470804,0.3473052528448203,0.2923717047227367,-0.9563047559630354
2008-07-07,1,33,20,27,0.0,12,13.6,304,113,57,9,1006,9,27,16,27,16,27,7,5.616666666666667,19.766666666666666,48.3,7,-0.4999999999999997,-0.8660254037844388,7,0.9884683243281114,0.1514277775045767,0.559192903470747,-0.8290375725550416
2008-07-08,1,34,23,28,0.0,12,13.6,292,113,48,10,1005,0,28,14,28,15,28,7,5.633333333333333,19.766666666666666,41.4,7,-0.4999999999999997,-0.8660254037844388,8,0.9987165071710528,-0.05064916883871264,0.37460659341591196,-0.9271838545667874
2008-07-09,1,35,23,28,0.0,11,13.6,308,113,45,10,1005,0,28,13,28,14,28,7,5.633333333333333,19.75,34.5,7,-0.4999999999999997,-0.8660254037844388,9,0.9680771188662043,-0.2506525322587204,0.6156614753256585,-0.7880107536067218
2008-07-10,1,38,23,30,0.0,10,13.6,231,113,32,10,1006,0,30,7,30,13,30,8,5.65,19.75,27.6,7,-0.4999999999999997,-0.8660254037844388,10,0.8978045395707416,-0.4403941515576344,-0.6293203910498378,-0.7771459614569706
