date,maxtempC,mintempC,avgtempC,totalprecipMM,windspeedKmph,sunhour,weatherCode,humidity,visibilityKm,pressureMB,cloudcover,DewPointC,WindGustKmph,sunrise,sunset,moon_illumination,month,month_sin,month_cos,day,day_sin,day_cos,wind_cos,wind_sin
2008-07-01,40,21,30,0.0,12,13.1,113,37,10,1006,0,10,18,5.733333333333333,19.73333333333333,89.7,7,-0.4999999999999997,-0.8660254037844388,1,0.20129852008866,0.9795299412524944,-0.9986295347545738,0.0523359562429438
2008-07-02,40,18,28,0.0,12,13.1,113,37,10,1006,0,9,19,5.733333333333333,19.73333333333333,82.8,7,-0.4999999999999997,-0.8660254037844388,2,0.3943558551133185,0.9189578116202306,0.9205048534524404,-0.3907311284892739
2008-07-03,40,15,27,0.0,12,13.1,113,43,10,1006,0,10,19,5.75,19.73333333333333,75.9,7,-0.4999999999999997,-0.8660254037844388,3,0.5712682150947923,0.8207634412072763,0.3255681544571563,-0.945518575599317
2008-07-04,38,13,25,0.0,12,13.1,113,43,10,1006,0,8,19,5.75,19.73333333333333,69.0,7,-0.4999999999999997,-0.8660254037844388,4,0.7247927872291199,0.6889669190756866,-0.2079116908177598,-0.9781476007338056
2008-07-05,38,17,27,0.0,15,13.1,113,42,10,1008,0,10,24,5.766666666666667,19.73333333333333,62.1,7,-0.4999999999999997,-0.8660254037844388,5,0.8486442574947509,0.5289640103269624,-0.8290375725550418,-0.5591929034707467
2008-07-06,38,14,26,0.0,13,13.1,113,43,10,1008,0,10,20,5.766666666666667,19.73333333333333,55.2,7,-0.4999999999999997,-0.8660254037844388,6,0.9377521321470804,0.3473052528448203,0.913545457642601,-0.4067366430758001
2008-07-07,38,15,26,0.0,15,13.1,113,43,10,1007,0,10,23,5.766666666666667,19.73333333333333,48.3,7,-0.4999999999999997,-0.8660254037844388,7,0.9884683243281114,0.1514277775045767,-0.2588190451025206,-0.9659258262890684
2008-07-08,39,15,28,0.0,16,13.1,113,44,10,1006,0,11,24,5.783333333333333,19.73333333333333,41.4,7,-0.4999999999999997,-0.8660254037844388,8,0.9987165071710528,-0.0506491688387126,-0.8090169943749476,-0.587785252292473
2008-07-09,39,17,27,0.0,13,13.1,113,39,10,1006,0,8,20,5.783333333333333,19.716666666666665,34.5,7,-0.4999999999999997,-0.8660254037844388,9,0.9680771188662044,-0.2506525322587204,0.5000000000000001,-0.8660254037844386
2008-07-10,41,14,27,0.0,8,13.1,113,29,10,1006,0,3,12,5.8,19.716666666666665,27.6,7,-0.4999999999999997,-0.8660254037844388,10,0.8978045395707416,-0.4403941515576344,-0.9271838545667874,-0.374606593415912
2008-07-11,40,12,26,0.0,8,13.1,113,28,10,1007,0,3,12,5.8,19.716666666666665,20.7,7,-0.4999999999999997,-0.8660254037844388,11,0.7907757369376989,-0.6121059825476626,0.6427876096865393,-0.7660444431189781
2008-07-12,39,15,27,0.0,11,13.1,113,33,10,1006,0,6,17,5.816666666666666,19.716666666666665,13.8,7,-0.4999999999999997,-0.8660254037844388,12,0.6513724827222223,-0.7587581226927909,0.9205048534524404,-0.3907311284892739
2008-07-13,40,15,27,0.0,11,13.1,113,37,10,1007,0,8,18,5.816666666666666,19.7,6.9,7,-0.4999999999999997,-0.8660254037844388,13,0.485301962531081,-0.8743466161445821,-0.4539904997395469,-0.8910065241883678
